net,length_um
genblk1.pcpi_mul.rd\[59\],387.62
_10772_,387.37
_08774_,387.17
instr_ecall_ebreak,387.04
_08148_,387
_13213_,386.935
_11768_,386.825
net154,386.38
_08660_,385.89
net301,385.52
_08759_,384.85
_11975_,384.24
_05288_,384.2
net1,384.16
net320,383.39
_11497_,382.7
_09341_,382.635
_14666_,382.42
irq_pending\[13\],381.97
net16,381.735
_11613_,381.56
net174,381.54
irq_pending\[8\],381.23
_10836_,381.04
clknet_5_28__leaf_clk,381.03
_05269_,380.71
mem_rdata_q\[24\],380.63
_06453_,379.96
mem_rdata_q\[22\],379.47
_11346_,379.41
_08158_,379.02
_08989_,378.93
_05875_,378.5
_09382_,378.24
_08662_,377.4
_09367_,376.3
_11688_,376.095
_05835_,375.29
_09347_,375.04
_05723_,374.69
_08623_,373.16
_11329_,373.03
_11546_,372.805
net217,372.04
net88,371.86
net177,371.8
_05451_,371.68
net210,371.08
_09641_,371
_08964_,370.955
net10,370.78
_09222_,370.49
_10842_,370.325
_08234_,370.06
_05627_,370
clknet_5_21__leaf_clk,369.43
_05236_,369.27
_12912_,369.25
_05277_,369.12
genblk1.pcpi_mul.rd\[63\],368.98
net59,368.84
_09681_,368.76
net98,367.39
genblk1.pcpi_mul.rd\[45\],367.3
net128,366.7
_11570_,366.275
_13488_,366.11
genblk1.pcpi_mul.rd\[54\],365
_09095_,364.79
net71,364.74
clknet_5_25__leaf_clk,364.66
_08905_,364.24
genblk1.pcpi_mul.rd\[56\],363.87
_09342_,363.41
net356,363.41
_09477_,363.26
_11615_,362.94
_08864_,362.84
_10930_,362.78
_12046_,362.38
genblk1.pcpi_mul.rd\[16\],362.27
_00063_,361.865
_05794_,361.38
_13996_,361.235
_08681_,361.19
_09614_,361.15
_09835_,360.72
net372,360.66
_09374_,360.37
_13648_,360.245
_09094_,360.04
genblk1.pcpi_mul.rd\[46\],360
_01137_,359.705
_12786_,359.51
_09747_,359.41
_10953_,358.66
genblk1.pcpi_mul.rd\[58\],357.99
genblk1.pcpi_mul.rd\[14\],357.82
_02305_,357.77
net252,357.54
_11295_,356.95
_12914_,356.87
_04102_,356.68
_10857_,355.545
_10394_,355.54
_10849_,355.3
_09749_,355.26
_09173_,354.86
_08787_,354.07
genblk1.pcpi_mul.rd\[55\],353.87
_11705_,353.355
genblk1.pcpi_mul.rd\[52\],352.08
net248,352.04
_10549_,351.985
_02503_,351.64
_05342_,351.635
net388,351.34
_13942_,351.26
_08792_,351
_10245_,350.24
net370,350.04
_11677_,349.8
_12251_,349.765
_08612_,349.68
_11440_,349.57
_09334_,349.18
_12858_,349.065
net308,348.81
_02854_,348.22
net332,347.73
_05558_,347.64
_09057_,346.78
irq_pending\[12\],346.305
_01621_,346.02
_11561_,344.99
clknet_5_14__leaf_clk,344.9
net373,344.665
_09756_,344.495
_08180_,344.28
_12464_,343.94
_01674_,343.355
_11396_,343.155
genblk1.pcpi_mul.rd\[47\],342.94
_09362_,342.66
_10850_,342.37
irq_pending\[15\],342.37
_10784_,342.32
_11642_,342.1
_11337_,341.91
_08828_,341.71
genblk1.pcpi_mul.rd\[49\],341.68
_05210_,340.92
_08779_,340.87
_12585_,340.64
_09754_,339.85
_12527_,339.29
_07419_,338.94
net315,338.82
_08664_,338.61
_09056_,338.56
_10841_,338.46
_10814_,338.38
genblk1.pcpi_mul.rs1\[0\],338.19
